issue_key,associated_story_key,associated_epic_key,associated_epic_name,epic_link_path,linked_story_count
NXT-30101,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30100,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30099,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30097,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30046,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30038,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30037,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30036,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-29782,,NXT-19105,IM - Onboarding,direct_parent,0
NXT-29736,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-29114,,NXT-29086,,direct_parent,0
NXT-29112,,NXT-29086,,direct_parent,0
NXT-29108,,NXT-29086,,direct_parent,0
NXT-29065,,NXT-24065,IM - UI Improvements (R5),direct_parent,0
NXT-28661,,NXT-24070,IM - Permissions (R5),direct_parent,0
NXT-28659,,NXT-24070,IM - Permissions (R5),direct_parent,0
NXT-28530,,NXT-13227,IM - Reports (R5),direct_parent,0
NXT-28516,,NXT-14670,,direct_parent,0
NXT-28307,,NXT-24065,IM - UI Improvements (R5),direct_parent,0
NXT-28234,,NXT-24065,IM - UI Improvements (R5),direct_parent,0
NXT-28233,,NXT-24065,IM - UI Improvements (R5),direct_parent,0
NXT-28222,,NXT-20609,IM - Menu Item Management(R5),direct_parent,0
NXT-28221,,NXT-20609,IM - Menu Item Management(R5),direct_parent,0
NXT-28204,,NXT-13227,IM - Reports (R5),direct_parent,0
NXT-28116,,NXT-24065,IM - UI Improvements (R5),direct_parent,0
NXT-27946,,NXT-24065,IM - UI Improvements (R5),direct_parent,0
NXT-27941,,NXT-20609,IM - Menu Item Management(R5),direct_parent,0
NXT-27894,,NXT-11036,IM - USDA Requirements,direct_parent,0
NXT-27892,,NXT-13227,IM - Reports (R5),direct_parent,0
NXT-27890,,NXT-24070,IM - Permissions (R5),direct_parent,0
NXT-27889,,NXT-24070,IM - Permissions (R5),direct_parent,0
NXT-27888,,NXT-19104,IM - Item Substitution,direct_parent,0
NXT-27800,,NXT-11036,IM - USDA Requirements,direct_parent,0
NXT-27770,,NXT-4624,IM - Data Query Framework Integration,direct_parent,0
NXT-27769,,NXT-24065,IM - UI Improvements (R5),direct_parent,0
NXT-27764,,NXT-20609,IM - Menu Item Management(R5),direct_parent,0
NXT-27753,,NXT-24065,IM - UI Improvements (R5),direct_parent,0
NXT-27752,,NXT-24065,IM - UI Improvements (R5),direct_parent,0
NXT-27704,,NXT-24065,IM - UI Improvements (R5),direct_parent,0
NXT-27638,,NXT-29840,IM - UI Improvements (R6),direct_parent,0
NXT-27610,,NXT-19105,IM - Onboarding,direct_parent,0
NXT-27594,,NXT-29840,IM - UI Improvements (R6),direct_parent,0
NXT-27518,,NXT-20609,IM - Menu Item Management(R5),direct_parent,0
