key,label,request_type,module,issuetype,status,summary
NXT-66818,general-product,,Global Catalog,Story,New,SQL - Job - Add New Record in Storage Category Master
NXT-66819,general-product,,Global Catalog,Story,New,SQL - Job - Add New Record in Valuation Group Master
NXT-66820,general-product,,Global Catalog,Story,New,SQL - Job - Add New Record in Vendor Master
NXT-66821,customer-specific,FD,Eligibility,Story,Done Done,"Elig - DC - Extensions - Extending a different DC Type to the same student, blocking inactive Source students"
NXT-66822,general-product,,Global Catalog,Story,New,"SQL Job - Cybersoft - Process Rule Engine , Importable Item/Remarks/Search Key"
NXT-66823,general-product,,Global Catalog,Story,Story Refinement/Efforting,DB Enabler / SC (GDSNConnect) - Update Item API 
NXT-66824,general-product,,Global Catalog,Story,Story Refinement/Efforting,SC (GDSNConnect) - Update Item UI 
NXT-66825,general-product,,Global Catalog,Story,Story Refinement/Efforting,SC (GDSNConnect) - Merge Check for Update / Refresh Buttons as one 
NXT-66826,general-product,,Global Catalog,Story,New,GC Portal - Data Filters - UI Changes
NXT-66827,general-product,,Global Catalog,Story,Story Refinement/Efforting,GC Portal - Audit Log for Master Data - UI Changes
NXT-66854,general-product,,System,Story,Done Done,SC Insights - Insights System Setting
NXT-66866,general-product,,Global Catalog,Story,Ready for Development,DB Enabler - Update Cybersoft Catalog upon saving a Record
NXT-66867,general-product,,Global Catalog,Story,Future Merge,SC - UI/Include Non Importable Item as filter in the UI
NXT-66869,general-product,,Global Catalog,Story,Ready for Development,DB Enabler - Data Filters - API Changes
NXT-66896,general-product,,Financials,Story,New,Page 1: Explanation of process
NXT-66897,general-product,,Financials,Story,New,Page 2: Account Code Structure
NXT-66898,general-product,,Financials,Story,New,Page 3: Import accounts
NXT-66910,general-product,,Inventory,Story,Done Done,INV - Order Details - Consider Distribution QOH Setting on Edit
NXT-66911,general-product,,Inventory,Story,Done Done,INV - Internal Vendors - Seasonal Contract - Inherit Item List
NXT-66912,general-product,,Inventory,Story,Story Refinement/Efforting,INV - Consolidated Perpetual - Transfers tab & Details
NXT-66923,general-product,,Accountability,Story,Done Done,"Acc - Menu Item Sales - Terminal dropdown changes, Group By Terminal report change"
NXT-66927,general-product,,Financials,Story,New,Finance Coordinator
NXT-66928,general-product,,Financials,Story,New,"Director, Central Office, SchoolCafe Admin"
NXT-66929,general-product,,Financials,Story,New,Cafeteria Manager
NXT-66930,general-product,,Financials,Story,New,Base Architecture with Subcomponents
NXT-66944,general-product,,Inventory,Story,Done Done,INV - Config - Ordering Conditions - Handle seasonal contracts for internal vendors
NXT-66959,general-product,,SCTV,Enhancement,Ready For Testing,Enhance Navigation With Client-Side Routing and improve overall App Performance
NXT-66960,general-product,,PE Insights,Story,Story Refinement/Efforting,WS - Insights - LM - Integrate Site License from PE
