district_id,entity_class,n_variants,variants,fd_2.0_tickets,fd_implementation,nxt_dev_items,nxt_migration_items
columbia,customer,1,Columbia Public Schools,1,0,0,0
lena public,customer,1,Lena Public School District,1,0,0,0
simply scratch,customer,1,Simply Scratch,1,1,0,0
monroe j,customer,1,Monroe School District 1J,1,0,0,0
magdalena municipal,customer,1,Magdalena Municipal Schools,1,1,0,0
phoenix of roseburg,customer,1,Phoenix School of Roseburg,1,1,0,0
bogalusa city,customer,1,Bogalusa City School District,1,0,0,0
st mary parish,customer,1,St. Mary Parish Public Schools,1,1,0,0
glide,customer,1,Glide School District 12,1,1,0,0
west jasper cons sch dist ms,customer,1,WEST JASPER CONS SCH DIST - MS,1,0,0,0
cushing,customer,1,Cushing Public Schools,1,1,0,0
stanfield elementary,customer,1,Stanfield Elementary School District 24,1,0,0,0
albany,customer,1,Albany Area Schools,1,1,0,0
eastern allamakee,customer,1,Eastern Allamakee Community School District,1,0,0,0
mexic,customer,1,Mexic School District 59,1,1,0,0
stillwater,customer,1,Stillwater (NXT),0,0,1,0
tullahoma,customer,1,Tullahoma (NXT),0,0,1,0
